rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
398	INTS12	integrator complex subunit 12	1432	0	47	1	6	1	0	1	8	8	8	6.890859e-04	1	6.190000e-01	5.705731e-03	2.703476e-01
399	CDC45	cell division cycle 45 homolog (S. cerevisiae)	1887	0	72	1	3	0	2	0	5	5	5	1.016009e-01	6.700000e-03	5.874000e-01	5.718836e-03	2.703476e-01
400	PRAMEF18	PRAME family member 18	2900	0	77	3	10	1	0	0	11	8	6	9.996207e-01	4.000000e-04	9.446250e-01	5.783172e-03	2.727055e-01
401	TEX15	testis expressed 15	8382	0	26	7	16	0	1	4	21	19	21	9.313474e-03	1	1.500000e-02	5.841895e-03	2.747876e-01
402	MAP3K4	mitogen-activated protein kinase kinase kinase 4	4931	0	345	4	8	0	0	1	9	9	7	8.815028e-01	7.000000e-04	3.908000e-01	6.246963e-03	2.931100e-01
403	PCSK9	proprotein convertase subtilisin/kexin type 9	2125	0	54	5	8	0	1	1	10	10	9	4.786563e-03	1.410000e-01	5.830000e-01	6.500127e-03	3.037031e-01
404	RBMXL1	RNA binding motif protein, X-linked-like 1	1288	0	1	0	3	0	0	0	3	3	3	8.000301e-04	1	3.760000e-01	6.504934e-03	3.037031e-01
405	PLD3	phospholipase D family, member 3	1547	0	54	2	3	0	4	0	7	7	7	8.091575e-04	1	9.370000e-01	6.569968e-03	3.056439e-01
406	PKDREJ	polycystic kidney disease (polycystin) and REJ homolog (sperm receptor for egg jelly homolog, sea urchin)	6764	1	10	7	19	1	0	1	21	20	21	2.083326e-03	1	2.360000e-01	6.578911e-03	3.056439e-01
407	HOXC6	homeobox C6	722	0	0	2	1	0	0	1	2	2	2	8.261782e-04	1	2.300000e-01	6.690970e-03	3.100862e-01
408	CXCR2	chemokine (C-X-C motif) receptor 2	1113	0	28	0	7	0	0	0	7	7	6	7.514940e-03	9.800000e-02	4.470000e-01	6.853993e-03	3.168628e-01
409	FUCA1	fucosidase, alpha-L- 1, tissue	1432	4	51	1	5	1	0	0	6	6	6	4.782216e-02	7.500000e-02	1.210000e-01	6.936016e-03	3.198707e-01
410	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	421	2	24	0	5	0	2	0	7	7	7	1.252121e-03	4.770000e-01	7.410000e-01	7.028948e-03	3.233659e-01
411	NLRP7	NLR family, pyrin domain containing 7	3161	0	51	4	10	1	5	0	16	15	16	8.827336e-04	1	5.310000e-01	7.090546e-03	3.247587e-01
412	CHAD	chondroadherin	1190	0	0	0	4	0	0	0	4	4	4	8.831761e-04	1	8.860000e-01	7.093658e-03	3.247587e-01
413	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	1593	0	132	3	3	0	1	2	6	6	5	5.211228e-02	1.500000e-02	8.500000e-01	7.112870e-03	3.248498e-01
414	HIST1H3C	histone cluster 1, H3c	796	4	5	3	9	0	0	1	10	9	10	2.274455e-03	3.490000e-01	4.840000e-01	7.136783e-03	3.251546e-01
415	RPS27	ribosomal protein S27 (metallopanstimulin 1)	271	0	4	0	1	0	1	0	2	2	2	7.238167e-03	NaN	NaN	7.238167e-03	3.289791e-01
416	TNIP1	TNFAIP3 interacting protein 1	1984	2	137	2	8	1	1	1	11	11	11	3.924355e-03	1.870000e-01	2.670000e-01	7.312502e-03	3.315587e-01
417	PCDHA2	protocadherin alpha 2	33742	2	0	10	11	1	0	0	12	12	12	9.169414e-04	1	8.960000e-01	7.330457e-03	3.315758e-01
418	TMEM89	transmembrane protein 89	483	0	1	0	4	0	0	0	4	4	4	9.221083e-04	1	7.760000e-01	7.366583e-03	3.317752e-01
419	CHADL	chondroadherin-like	2387	3	22	3	3	0	0	0	3	3	3	9.226037e-01	1	1.000000e-03	7.370045e-03	3.317752e-01
420	FLT3LG	fms-related tyrosine kinase 3 ligand	749	4	36	0	1	0	0	2	3	3	3	3.073195e-01	3.700000e-02	3.190000e-02	7.579815e-03	3.404059e-01
421	BAK1	BCL2-antagonist/killer 1	664	0	21	0	5	0	0	1	6	6	6	2.902071e-03	1	1.250000e-01	7.654862e-03	3.429597e-01
422	ACOT4	acyl-CoA thioesterase 4	1278	2	18	0	5	0	0	0	5	5	4	2.158177e-01	3.960000e-02	5.360000e-02	7.708252e-03	3.437736e-01
423	PCDHGA8	protocadherin gamma subfamily A, 8	28538	15	0	3	6	1	0	0	7	6	7	9.742067e-04	1	5.280000e-01	7.729246e-03	3.437736e-01
424	CORO1A	coronin, actin binding protein, 1A	1425	0	0	3	4	0	0	1	5	5	5	9.763947e-04	1	6.920000e-01	7.744415e-03	3.437736e-01
425	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1	3024	3	75	5	16	0	2	2	20	17	19	3.150366e-02	3.290000e-01	1.900000e-02	7.745932e-03	3.437736e-01
426	POMGNT1	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	2073	0	11	1	4	0	2	1	7	7	7	3.427047e-03	1	2.750000e-01	7.865209e-03	3.477013e-01
427	PCDHGA2	protocadherin gamma subfamily A, 2	50841	4	0	6	8	0	0	0	8	8	8	2.220368e-03	1	3.060000e-01	7.871301e-03	3.477013e-01
428	BTBD6	BTB (POZ) domain containing 6	1477	0	0	2	4	1	0	0	5	5	5	2.259481e-03	1	3.790000e-01	8.039003e-03	3.542796e-01
429	BTG2	BTG family, member 2	485	0	1745	40	86	12	19	4	121	71	70	5.241397e-01	8.500000e-04	9.618000e-01	8.059985e-03	3.543763e-01
430	KRTAP10-7	keratin associated protein 10-7	1119	8	0	0	4	0	0	0	4	4	4	1.028763e-03	1	6.970000e-01	8.106035e-03	3.555722e-01
431	SETDB1	SET domain, bifurcated 1	3968	2	89	1	9	0	1	0	10	10	10	3.658119e-01	3.600000e-02	3.520000e-02	8.326308e-03	3.643871e-01
432	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	660	1	96	0	4	0	1	0	5	5	5	4.672200e-02	4.600000e-02	3.780000e-01	8.420399e-03	3.676518e-01
433	ALPK1	alpha-kinase 1	3806	0	373	2	11	0	1	0	12	12	12	2.010899e-01	4.960000e-02	5.630000e-02	8.497445e-03	3.701589e-01
434	PCDHAC1	protocadherin alpha subfamily C, 1	5420	0	0	4	9	0	0	0	9	9	9	1.652641e-03	1	4.990000e-01	8.620689e-03	3.746623e-01
435	RAET1G	retinoic acid early transcript 1G	1025	7	28	0	3	0	0	1	4	4	3	5.998524e-01	3.425000e-02	1.430000e-02	8.659911e-03	3.753021e-01
436	TRPM5	transient receptor potential cation channel, subfamily M, member 5	3592	1	55	3	4	1	4	1	10	10	10	1.463125e-02	6.300000e-02	7.000000e-01	8.675205e-03	3.753021e-01
437	LCA5	Leber congenital amaurosis 5	2130	0	253	2	16	1	1	0	18	17	17	4.084728e-02	1.760000e-01	2.500000e-02	8.890698e-03	3.837445e-01
438	ANKHD1	ankyrin repeat and KH domain containing 1	7865	0	373	8	10	1	0	3	14	14	12	8.950989e-01	1.100000e-03	4.210000e-01	9.025350e-03	3.882169e-01
439	KPNA7	karyopherin alpha 7 (importin alpha 8)	1589	1	119	1	9	1	2	1	13	13	13	1.165128e-03	1	9.530000e-01	9.035479e-03	3.882169e-01
440	PTTG2	pituitary tumor-transforming 2	575	0	0	0	3	0	0	0	3	3	3	1.177258e-03	1	5.210000e-01	9.117351e-03	3.903177e-01
441	N4BP1	NEDD4 binding protein 1	2718	1	165	2	12	0	0	0	12	12	11	1.324163e-02	1.220000e-01	3.770000e-01	9.125762e-03	3.903177e-01
442	IL1R2	interleukin 1 receptor, type II	1243	0	130	1	8	1	1	0	10	10	10	1.183260e-03	1	9.120000e-01	9.157817e-03	3.908026e-01
443	XKR7	XK, Kell blood group complex subunit-related family, member 7	1751	1	81	1	9	1	0	1	11	11	10	9.504719e-03	2.590000e-01	2.520000e-01	9.190361e-03	3.913061e-01
444	KIAA0430	KIAA0430	5347	2	128	5	16	0	0	2	18	17	17	9.390707e-02	7.900000e-03	4.116000e-01	9.220862e-03	3.914339e-01
445	MAP2K1	mitogen-activated protein kinase kinase 1	1232	0	282	0	7	0	0	0	7	7	6	7.027651e-02	4.400000e-02	1.940000e-01	9.234869e-03	3.914339e-01
446	HMMR	hyaluronan-mediated motility receptor (RHAMM)	2411	0	79	1	1	0	0	2	3	3	2	7.534194e-01	5.700000e-03	4.550000e-02	9.307303e-03	3.917900e-01
447	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	3018	0	535	8	13	1	7	2	23	20	21	4.142826e-03	2.480000e-01	8.840000e-01	9.307918e-03	3.917900e-01
448	CD300LD	CD300 molecule-like family member d	1300	0	11	0	3	0	0	0	3	3	3	6.446933e-02	1	6.500000e-03	9.308012e-03	3.917900e-01
449	RCE1	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)	1247	0	3	2	2	0	0	0	2	2	1	1.208604e-01	1.000000e-02	7.613000e-01	9.328355e-03	3.917900e-01
450	ATG2A	ATG2 autophagy related 2 homolog A (S. cerevisiae)	5977	0	48	5	11	0	7	2	20	19	19	1.211728e-03	1	5.450000e-01	9.349341e-03	3.917900e-01
451	KDM3B	lysine (K)-specific demethylase 3B	5380	0	180	5	11	3	3	1	18	17	18	2.680998e-03	1	3.310000e-01	9.367898e-03	3.917900e-01
452	NEK1	NIMA (never in mitosis gene a)-related kinase 1	3909	1	561	3	10	0	5	3	18	18	18	4.928162e-03	1	1.320000e-01	9.452559e-03	3.944561e-01
453	SLC23A3	solute carrier family 23 (nucleobase transporters), member 3	2390	1	10	1	3	0	1	0	4	4	3	1.241971e-01	8.800000e-03	9.432000e-01	9.552068e-03	3.977287e-01
454	TAS2R8	taste receptor, type 2, member 8	1775	0	2	2	0	0	0	2	2	2	1	1.257693e-01	1.000000e-02	1.530000e-01	9.657167e-03	4.012191e-01
455	ZDHHC4	zinc finger, DHHC-type containing 4	1086	1	0	3	3	0	0	0	3	3	3	2.266051e-03	1	4.440000e-01	9.732553e-03	4.034625e-01
456	SFRS3	splicing factor, arginine/serine-rich 3	521	0	57	0	7	1	0	0	8	8	8	1.276909e-03	1	9.160000e-01	9.785355e-03	4.035068e-01
457	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1851	0	70	7	11	0	1	0	12	12	11	3.993910e-01	7.000000e-04	7.114000e-01	9.792963e-03	4.035068e-01
458	HIST4H4	histone cluster 4, H4	316	0	41	3	8	0	0	0	8	8	8	1.217883e-02	1	4.200000e-02	9.797800e-03	4.035068e-01
459	FUNDC2	FUN14 domain containing 2	587	2	0	0	0	0	0	1	1	1	1	9.830115e-03	NaN	NaN	9.830115e-03	4.039556e-01
460	BANP	BTG3 associated nuclear protein	1681	0	356	4	3	1	0	0	4	4	4	7.628316e-01	4.130000e-02	9.100000e-03	9.917831e-03	4.066742e-01
461	GPR52	G protein-coupled receptor 52	1090	0	2	1	7	0	0	1	8	8	8	1.309904e-03	1	7.930000e-01	1.000479e-02	4.093500e-01
462	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	4775	0	274	2	9	1	1	5	16	16	15	2.235124e-02	8.400000e-02	3.420000e-01	1.006330e-02	4.104402e-01
463	JUND	jun D proto-oncogene	1047	0	21	4	12	0	0	3	15	12	15	1.862655e-02	5.700000e-02	1	1.008824e-02	4.104402e-01
464	RGS11	regulator of G-protein signaling 11	1474	0	34	1	4	1	0	1	6	6	6	1.765019e-01	5.530000e-02	7.530000e-02	1.009672e-02	4.104402e-01
465	PCDHA4	protocadherin alpha 4	28798	2	0	6	10	1	0	1	12	11	12	1.335154e-03	1	8.570000e-01	1.017215e-02	4.120602e-01
466	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	6835	2	511	11	21	2	2	6	31	30	30	3.270320e-03	3.170000e-01	6.430000e-01	1.018808e-02	4.120602e-01
467	P4HA3	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III	1685	1	107	3	4	0	2	0	6	6	5	7.880478e-02	1.500000e-02	8.080000e-01	1.020211e-02	4.120602e-01
468	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	1268	0	90	4	9	0	3	1	13	13	13	2.188982e-01	4.200000e-03	5.548000e-01	1.031768e-02	4.158377e-01
469	ZFP36L1	zinc finger protein 36, C3H type-like 1	1239	0	807	5	24	5	17	5	51	40	32	5.669462e-01	9.500000e-04	7.938000e-01	1.034080e-02	4.158808e-01
470	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2	1392	0	1118	7	6	0	1	1	8	8	8	9.992131e-01	5.896667e-02	9.333333e-04	1.037326e-02	4.162988e-01
471	PLCD1	phospholipase C, delta 1	2429	3	51	3	8	1	3	0	12	11	12	1.806025e-03	1	6.040000e-01	1.053825e-02	4.214830e-01
472	CRY2	cryptochrome 2 (photolyase-like)	1932	2	87	0	6	0	1	0	7	7	6	7.733272e-02	4.300000e-02	2.930000e-01	1.054713e-02	4.214830e-01
473	PEAR1	platelet endothelial aggregation receptor 1	3208	4	57	3	16	0	2	0	18	16	17	4.717045e-03	2.470000e-01	9.590000e-01	1.057512e-02	4.217080e-01
474	R3HCC1	R3H domain and coiled-coil containing 1	804	0	21	1	2	0	0	2	4	4	4	1.263945e-02	1	8.900000e-02	1.070234e-02	4.251540e-01
475	ACCN3	amiloride-sensitive cation channel 3	1754	5	13	3	8	0	0	0	8	8	8	4.046484e-02	1.210000e-01	1.560000e-01	1.070661e-02	4.251540e-01
476	ZBED2	zinc finger, BED-type containing 2	764	0	0	0	2	1	0	0	3	3	3	1.452683e-03	1	6.050000e-01	1.094501e-02	4.337075e-01
477	CCDC108	coiled-coil domain containing 108	6070	0	84	4	13	3	1	4	21	20	21	1.466930e-03	1	6.160000e-01	1.103804e-02	4.364770e-01
478	CXCL10	chemokine (C-X-C motif) ligand 10	312	1	0	0	1	0	0	0	1	1	1	1.108148e-02	NaN	NaN	1.108148e-02	4.372780e-01
479	SLFN14	schlafen family member 14	2753	0	15	0	6	1	1	1	9	9	9	1.481036e-03	1	8.390000e-01	1.113001e-02	4.382760e-01
480	BSCL2	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	1682	2	49	4	8	0	0	0	8	6	7	2.505336e-01	8.040000e-02	3.790000e-02	1.127425e-02	4.430310e-01
481	OR8H3	olfactory receptor, family 8, subfamily H, member 3	939	4	19	2	6	0	0	0	6	6	5	9.418933e-01	4.620000e-02	4.800000e-03	1.129913e-02	4.430854e-01
482	CD274	CD274 molecule	903	0	73	0	5	1	0	1	7	6	7	1.918111e-02	1	1.270000e-02	1.135289e-02	4.441311e-01
483	CXCL11	chemokine (C-X-C motif) ligand 11	301	1	0	0	1	0	0	0	1	1	1	1.138220e-02	NaN	NaN	1.138220e-02	4.441311e-01
484	HIST1H4K	histone cluster 1, H4k	314	6	21	1	9	0	0	1	10	9	9	4.303750e-03	3.140000e-01	7.690000e-01	1.143415e-02	4.441311e-01
485	LUC7L	LUC7-like (S. cerevisiae)	1159	1	129	1	4	0	2	0	6	6	5	8.988742e-02	6.500000e-02	1.510000e-01	1.143580e-02	4.441311e-01
486	FEM1C	fem-1 homolog c (C. elegans)	1868	0	61	1	4	1	0	4	9	8	8	2.389496e-02	5.500000e-02	8.430000e-01	1.144352e-02	4.441311e-01
487	LIPE	lipase, hormone-sensitive	3293	2	67	3	7	0	0	0	7	7	6	7.724132e-01	2.900000e-02	3.450000e-02	1.154425e-02	4.471203e-01
488	C14orf50	chromosome 14 open reading frame 50	1317	0	84	1	7	0	0	1	8	8	8	3.681550e-03	1	3.530000e-01	1.162491e-02	4.493217e-01
489	PCDHGA9	protocadherin gamma subfamily A, 9	23108	9	1	0	5	0	0	0	5	5	5	1.581749e-03	1	6.600000e-01	1.178280e-02	4.544933e-01
490	AIM1L	absent in melanoma 1-like	1937	3	57	3	11	1	1	1	14	14	14	1.589096e-03	1	9.140000e-01	1.183017e-02	4.553889e-01
491	HSPA8	heat shock 70kDa protein 8	1981	1	36	7	8	0	0	1	9	9	9	5.498653e-01	6.930000e-02	2.000000e-03	1.186569e-02	4.558262e-01
492	F9	coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)	1416	1	126	2	7	0	0	0	7	5	7	9.584582e-01	1	3.200000e-04	1.196610e-02	4.586276e-01
493	KIF18B	kinesin family member 18B	2632	0	35	2	6	1	2	0	9	9	9	2.499563e-03	1	3.570000e-01	1.199509e-02	4.586276e-01
494	TPPP	tubulin polymerization promoting protein	676	6	65	2	5	1	2	0	8	7	7	5.519730e-03	1	2.340000e-01	1.201156e-02	4.586276e-01
495	THAP11	THAP domain containing 11	949	0	0	0	1	1	0	0	2	2	2	2.809750e-03	1	4.640000e-01	1.218116e-02	4.641271e-01
496	WDR92	WD repeat domain 92	1454	0	62	1	7	0	1	0	8	8	8	1.317914e-02	1.070000e-01	9.660000e-01	1.220481e-02	4.641271e-01
497	TEX13A	testis expressed 13A	1244	0	0	0	12	0	0	0	12	11	12	1.660187e-03	1	8.820000e-01	1.228675e-02	4.663033e-01
498	TSPYL6	TSPY-like 6	1237	0	0	1	3	1	0	0	4	4	4	1.671916e-03	1	7.950000e-01	1.236179e-02	4.677430e-01
499	BRD2	bromodomain containing 2	2467	2	71	2	8	2	5	2	17	17	16	1.026915e-02	1.340000e-01	8.090000e-01	1.237428e-02	4.677430e-01
500	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	448	0	33	2	5	0	0	0	5	5	4	4.169531e-03	1	2.590000e-01	1.241551e-02	4.683626e-01
501	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	2813	0	90	1	6	0	3	1	10	9	10	1.968245e-02	7.100000e-02	1	1.249449e-02	4.699686e-01
502	STK17A	serine/threonine kinase 17a	1270	0	180	1	8	0	2	0	10	9	9	2.092339e-02	7.100000e-02	9.030000e-01	1.250791e-02	4.699686e-01
503	YPEL3	yippee-like 3 (Drosophila)	494	0	0	1	0	0	1	0	1	1	1	1.264934e-02	NaN	NaN	1.264934e-02	4.743378e-01
504	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	1003	0	0	0	2	0	0	0	2	2	2	7.144996e-03	1	7.300000e-02	1.268091e-02	4.745782e-01
505	MTHFR	5,10-methylenetetrahydrofolate reductase (NADPH)	2155	0	62	1	4	2	2	1	9	8	9	1.276032e-02	NaN	NaN	1.276032e-02	4.766042e-01
506	RAG2	recombination activating gene 2	1602	0	7	0	8	0	0	0	8	8	8	1.743885e-03	1	8.190000e-01	1.282041e-02	4.776117e-01
507	FAM3A	family with sequence similarity 3, member A	730	0	28	0	4	0	0	0	4	4	4	2.256645e-02	1	1.240000e-02	1.283793e-02	4.776117e-01
508	BRPF1	bromodomain and PHD finger containing, 1	3852	1	27	5	9	0	1	2	12	12	11	4.909741e-02	8.800000e-02	2.230000e-01	1.297029e-02	4.815860e-01
509	TMEM14E	transmembrane protein 14E	382	0	0	0	2	0	0	0	2	2	2	3.864806e-03	1	1.990000e-01	1.313340e-02	4.866840e-01
510	CHD4	chromodomain helicase DNA binding protein 4	5900	0	76	4	27	0	2	2	31	24	31	1.843946e-03	1	6.860000e-01	1.345315e-02	4.975554e-01
511	MPPE1	metallophosphoesterase 1	1241	0	68	2	2	0	2	1	5	5	5	2.906880e-02	1	2.900000e-02	1.355669e-02	5.004036e-01
512	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	1441	0	8	0	4	0	0	0	4	4	3	4.987419e-02	3.520000e-02	5.051000e-01	1.361877e-02	5.008819e-01
513	SFT2D3	SFT2 domain containing 3	652	1	4	0	4	0	0	0	4	4	4	1.870917e-03	1	4.330000e-01	1.362276e-02	5.008819e-01
514	C19orf71	chromosome 19 open reading frame 71	805	0	0	0	2	0	0	0	2	2	2	7.374023e-03	1	2.380000e-01	1.368215e-02	5.020869e-01
515	ULK3	unc-51-like kinase 3 (C. elegans)	1721	1	10	1	4	0	3	0	7	7	7	1.906153e-03	1	8.850000e-01	1.384376e-02	5.070310e-01
516	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	1452	0	119	0	4	0	1	0	5	5	4	2.696700e-01	2.070000e-02	2.379000e-01	1.389700e-02	5.079944e-01
517	CCDC57	coiled-coil domain containing 57	2818	0	267	0	10	2	0	0	12	12	11	2.552696e-02	2.340000e-01	2.000000e-01	1.421498e-02	5.185330e-01
518	GPR84	G protein-coupled receptor 84	1203	0	0	0	4	0	0	0	4	4	4	1.972067e-03	1	4.460000e-01	1.425543e-02	5.185330e-01
519	SETD5	SET domain containing 5	4423	2	218	3	9	2	0	1	12	12	10	1.658864e-01	7.000000e-03	4.149000e-01	1.426777e-02	5.185330e-01
520	ZBTB7A	zinc finger and BTB domain containing 7A	1769	1	72	6	19	0	0	1	20	17	19	1.998354e-03	1	9.160000e-01	1.441898e-02	5.230209e-01
521	RFXANK	regulatory factor X-associated ankyrin-containing protein	857	1	21	0	3	0	1	0	4	4	4	1.362091e-02	1	1.240000e-01	1.452793e-02	5.259614e-01
522	SIAH2	seven in absentia homolog 2 (Drosophila)	983	0	114	5	12	0	1	0	13	10	12	9.056019e-03	1.940000e-01	8.260000e-01	1.460643e-02	5.277902e-01
523	PCDHA7	protocadherin alpha 7	21549	3	0	3	11	1	0	0	12	10	12	2.061489e-03	1	9.450000e-01	1.481041e-02	5.338854e-01
524	NKD2	naked cuticle homolog 2 (Drosophila)	1395	1	107	3	5	1	1	0	7	7	6	2.581170e-01	5.800000e-03	9.321000e-01	1.483172e-02	5.338854e-01
525	ZDHHC8	zinc finger, DHHC-type containing 8	2551	4	35	2	8	1	2	4	15	13	15	5.387028e-03	1	2.390000e-01	1.498757e-02	5.384675e-01
526	RPS2	ribosomal protein S2	1132	2	20	2	3	0	1	2	6	6	6	5.405644e-02	3.500000e-02	5.870000e-01	1.509877e-02	5.414315e-01
527	TNK1	tyrosine kinase, non-receptor, 1	2040	3	22	4	8	0	0	0	8	7	7	7.561869e-02	3.900000e-02	2.550000e-01	1.515496e-02	5.419606e-01
528	ITGB1BP3	integrin beta 1 binding protein 3	726	0	26	0	4	0	1	0	5	5	5	6.421579e-03	1	2.160000e-01	1.520555e-02	5.419606e-01
529	ZNF107	zinc finger protein 107	2397	1	129	1	11	1	0	0	12	11	9	3.082997e-01	5.100000e-03	9.757000e-01	1.521617e-02	5.419606e-01
530	ZC3H8	zinc finger CCCH-type containing 8	910	0	0	0	1	0	0	0	1	1	1	1.522845e-02	NaN	NaN	1.522845e-02	5.419606e-01
531	RGAG1	retrotransposon gag domain containing 1	4203	0	36	2	12	1	0	0	13	13	13	2.161053e-03	1	5.480000e-01	1.542378e-02	5.468600e-01
532	HMGB4	high-mobility group box 4	573	0	0	0	3	0	0	0	3	3	3	3.607857e-03	1	5.540000e-01	1.542411e-02	5.468600e-01
533	C20orf152	chromosome 20 open reading frame 152	1767	2	170	1	3	0	0	0	3	3	2	7.519202e-01	2.870000e-02	5.400000e-03	1.554346e-02	5.493369e-01
534	ADRA1A	adrenergic, alpha-1A-, receptor	1699	1	416	2	3	0	0	0	3	3	3	9.918169e-01	9.200000e-03	1.858000e-01	1.555222e-02	5.493369e-01
535	S1PR2	sphingosine-1-phosphate receptor 2	1073	0	562	2	35	3	7	4	49	27	42	4.770447e-02	6.902000e-01	1.270000e-02	1.559900e-02	5.499597e-01
536	MTERFD2	MTERF domain containing 2	1162	0	14	1	6	0	1	1	8	6	8	2.214873e-03	1	4.490000e-01	1.575341e-02	5.543674e-01
537	TMEM222	transmembrane protein 222	651	1	50	0	1	0	1	0	2	2	1	2.221876e-01	1.000000e-02	6.653000e-01	1.579622e-02	5.543702e-01
538	CKAP2	cytoskeleton associated protein 2	2086	2	59	1	6	0	1	2	9	9	9	1.901287e-02	1	6.900000e-02	1.581228e-02	5.543702e-01
539	TNRC6C	trinucleotide repeat containing 6C	5287	3	301	3	7	1	2	5	15	14	13	6.252034e-01	2.700000e-03	9.233000e-01	1.597232e-02	5.585056e-01
540	LARP7	La ribonucleoprotein domain family, member 7	1798	3	48	1	2	0	2	2	6	6	5	1.090229e-01	1.830000e-02	7.192000e-01	1.600914e-02	5.585056e-01
541	KRTAP10-10	keratin associated protein 10-10	760	8	0	1	3	0	0	0	3	3	3	2.258401e-03	1	5.860000e-01	1.601906e-02	5.585056e-01
542	PCDHA8	protocadherin alpha 8	19445	6	0	8	10	0	1	0	11	11	11	2.273941e-03	1	4.280000e-01	1.611369e-02	5.607683e-01
543	PCDHGA3	protocadherin gamma subfamily A, 3	48844	6	0	5	6	0	0	0	6	6	6	9.492881e-03	1	2.010000e-01	1.619791e-02	5.626609e-01
544	C1orf14	chromosome 1 open reading frame 14	1998	0	149	2	8	2	1	1	12	12	12	2.306846e-03	1	5.920000e-01	1.631372e-02	5.656204e-01
545	ZNF488	zinc finger protein 488	1035	0	0	2	2	0	0	0	2	2	2	3.904867e-03	1	4.120000e-01	1.634308e-02	5.656204e-01
546	CLOCK	clock homolog (mouse)	2622	2	286	1	4	0	2	2	8	8	7	9.270123e-02	2.400000e-02	3.960000e-01	1.637858e-02	5.656918e-01
547	HIST1H2BN	histone cluster 1, H2bn	778	0	7	2	4	1	0	0	5	5	5	4.867729e-02	1	1.110000e-02	1.640512e-02	5.656918e-01
548	LRRC17	leucine rich repeat containing 17	1656	0	0	4	3	0	0	0	3	3	3	2.333806e-03	1	9.720000e-01	1.647726e-02	5.671426e-01
549	PPIAL4D	peptidylprolyl isomerase A (cyclophilin A)-like 4D	1350	1	0	0	1	0	0	0	1	1	1	1.652340e-02	NaN	NaN	1.652340e-02	5.676946e-01
550	PMFBP1	polyamine modulated factor 1 binding protein 1	3185	0	148	2	8	1	2	0	11	11	10	4.796351e-02	6.100000e-02	6.350000e-01	1.657663e-02	5.684880e-01
551	PARP15	poly (ADP-ribose) polymerase family, member 15	2155	3	158	2	9	0	1	2	12	12	11	1.640229e-02	1.870000e-01	4.860000e-01	1.674668e-02	5.732775e-01
552	ZUFSP	zinc finger with UFM1-specific peptidase domain	1774	4	89	0	2	0	1	2	5	5	4	5.142943e-01	1.150000e-02	2.640000e-01	1.698108e-02	5.802484e-01
553	SLAMF6	SLAM family member 6	1030	0	132	1	4	2	0	2	8	7	8	1.014103e-02	1	1.510000e-01	1.714244e-02	5.841009e-01
554	PLXNB3	plexin B3	5990	4	19	2	10	0	0	3	13	13	12	1.528877e-01	1.350000e-02	9.659000e-01	1.715576e-02	5.841009e-01
555	SPATA12	spermatogenesis associated 12	585	0	0	0	1	0	0	0	1	1	1	1.724894e-02	NaN	NaN	1.724894e-02	5.861363e-01
556	PLCD3	phospholipase C, delta 3	2433	5	48	2	8	1	1	0	10	10	8	2.804450e-02	8.200000e-02	4.410000e-01	1.728622e-02	5.861363e-01
557	CALCR	calcitonin receptor	1589	2	580	0	8	1	1	1	11	11	11	7.566338e-01	1	6.333333e-04	1.730876e-02	5.861363e-01
558	SIGLEC5	sialic acid binding Ig-like lectin 5	1689	1	62	1	2	1	0	0	3	3	3	8.933170e-01	6.800000e-03	4.312000e-01	1.748638e-02	5.910896e-01
559	DTX2	deltex homolog 2 (Drosophila)	1906	0	40	2	5	1	1	0	7	7	7	5.585912e-03	1	3.400000e-01	1.752703e-02	5.914039e-01
560	NLRC5	NLR family, CARD domain containing 5	5803	0	245	8	15	2	3	2	22	18	21	3.817260e-02	1	3.100000e-02	1.759477e-02	5.922440e-01
561	ZNF429	zinc finger protein 429	2040	1	114	2	8	0	0	0	8	8	8	6.638753e-01	7.070000e-02	1.400000e-02	1.761472e-02	5.922440e-01
